Date,Game,Boxscore Link
"Thursday, March 30, 2023",Baltimore Orioles (4) @ Boston Red Sox (4),https://www.baseball-reference.com/teams/BAL/2023.shtml
"Thursday, March 30, 2023",Milwaukee Brewers (4) @ Chicago Cubs (5),https://www.baseball-reference.com/teams/MIL/2023.shtml
"Thursday, March 30, 2023",Pittsburgh Pirates (3) @ Cincinnati Reds (3),https://www.baseball-reference.com/teams/PIT/2023.shtml
"Thursday, March 30, 2023",Chicago White Sox (2) @ Houston Astros (2),https://www.baseball-reference.com/teams/CHW/2023.shtml
"Thursday, March 30, 2023",Minnesota Twins (8) @ Kansas City Royals (8),https://www.baseball-reference.com/teams/MIN/2023.shtml
"Thursday, March 30, 2023",Arizona D'Backs (8) @ Los Angeles Dodgers (5),https://www.baseball-reference.com/teams/ARI/2023.shtml
"Thursday, March 30, 2023",New York Mets (5) @ Miami Marlins (5),https://www.baseball-reference.com/teams/NYM/2023.shtml
"Thursday, March 30, 2023",San Francisco Giants (5) @ New York Yankees (2),https://www.baseball-reference.com/teams/SFG/2023.shtml
"Thursday, March 30, 2023",Los Angeles Angels (2) @ Oakland Athletics (7),https://www.baseball-reference.com/teams/LAA/2023.shtml
"Thursday, March 30, 2023",Colorado Rockies (3) @ San Diego Padres (3),https://www.baseball-reference.com/teams/COL/2023.shtml
"Thursday, March 30, 2023",Cleveland Guardians (3) @ Seattle Mariners (10),https://www.baseball-reference.com/teams/CLE/2023.shtml
"Thursday, March 30, 2023",Toronto Blue Jays (4) @ St. Louis Cardinals (4),https://www.baseball-reference.com/teams/TOR/2023.shtml
"Thursday, March 30, 2023",Detroit Tigers (4) @ Tampa Bay Rays (11),https://www.baseball-reference.com/teams/DET/2023.shtml
"Thursday, March 30, 2023",Philadelphia Phillies (11) @ Texas Rangers (7),https://www.baseball-reference.com/teams/PHI/2023.shtml
"Thursday, March 30, 2023",Atlanta Braves (6) @ Washington Nationals (6),https://www.baseball-reference.com/teams/ATL/2023.shtml
"Friday, March 31, 2023",Chicago White Sox (6) @ Houston Astros (2),https://www.baseball-reference.com/teams/CHW/2023.shtml
"Friday, March 31, 2023",Arizona D'Backs (2) @ Los Angeles Dodgers (2),https://www.baseball-reference.com/teams/ARI/2023.shtml
"Friday, March 31, 2023",New York Mets (2) @ Miami Marlins (4),https://www.baseball-reference.com/teams/NYM/2023.shtml
"Friday, March 31, 2023",Colorado Rockies (9) @ San Diego Padres (9),https://www.baseball-reference.com/teams/COL/2023.shtml
"Friday, March 31, 2023",Cleveland Guardians (9) @ Seattle Mariners (9),https://www.baseball-reference.com/teams/CLE/2023.shtml
"Saturday, April 1, 2023",Baltimore Orioles (9) @ Boston Red Sox (3),https://www.baseball-reference.com/teams/BAL/2023.shtml
"Saturday, April 1, 2023",Milwaukee Brewers (6) @ Chicago Cubs (6),https://www.baseball-reference.com/teams/MIL/2023.shtml
"Saturday, April 1, 2023",Pittsburgh Pirates (6) @ Cincinnati Reds (6),https://www.baseball-reference.com/teams/PIT/2023.shtml
"Saturday, April 1, 2023",Chicago White Sox (6) @ Houston Astros (2),https://www.baseball-reference.com/teams/CHW/2023.shtml
"Saturday, April 1, 2023",Minnesota Twins (10) @ Kansas City Royals (10),https://www.baseball-reference.com/teams/MIN/2023.shtml
"Saturday, April 1, 2023",Arizona D'Backs (10) @ Los Angeles Dodgers (6),https://www.baseball-reference.com/teams/ARI/2023.shtml
"Saturday, April 1, 2023",New York Mets (7) @ Miami Marlins (7),https://www.baseball-reference.com/teams/NYM/2023.shtml
"Saturday, April 1, 2023",San Francisco Giants (13) @ New York Yankees (13),https://www.baseball-reference.com/teams/SFG/2023.shtml
"Saturday, April 1, 2023",Los Angeles Angels (8) @ Oakland Athletics (8),https://www.baseball-reference.com/teams/LAA/2023.shtml
"Saturday, April 1, 2023",Colorado Rockies (8) @ San Diego Padres (2),https://www.baseball-reference.com/teams/COL/2023.shtml
"Saturday, April 1, 2023",Cleveland Guardians (4) @ Seattle Mariners (4),https://www.baseball-reference.com/teams/CLE/2023.shtml
"Saturday, April 1, 2023",Toronto Blue Jays (4) @ St. Louis Cardinals (12),https://www.baseball-reference.com/teams/TOR/2023.shtml
"Saturday, April 1, 2023",Detroit Tigers (12) @ Tampa Bay Rays (16),https://www.baseball-reference.com/teams/DET/2023.shtml
"Saturday, April 1, 2023",Philadelphia Phillies (16) @ Texas Rangers (7),https://www.baseball-reference.com/teams/PHI/2023.shtml
